lat, long
-34.5597513035, -58.4809482944
-34.5274980032, -58.3522779315
-34.6151107338, -58.4108062353
-34.6095463324, -58.3456494978
-34.6281611316, -58.3677756987
-34.5464806093, -58.5086062842
-34.600923398, -58.4047965927
-34.5906949566, -58.4854055394
-34.6558075372, -58.3900175717
-34.6039948461, -58.3929954205
-34.5330513777, -58.5009786565
-34.5744790353, -58.4063354598
-34.6169254145, -58.5039918077
-34.565760162, -58.4631134682
-34.5660803987, -58.5286335599
-34.5436410733, -58.4993027234
-34.6624930181, -58.4268530508
-34.6039689738, -58.4650745695
-34.6113027391, -58.4285412065
-34.6315893841, -58.457754471
-34.6606122584, -58.5162578204
-34.5914813579, -58.3369385185
-34.6009364317, -58.5098601738
-34.6087823144, -58.3792656849
-34.5691847643, -58.4915566392
-34.6102244143, -58.3574558019
-34.5696448617, -58.4774901701
-34.6223837656, -58.4338067914
-34.6774501211, -58.3758740805
-34.6416001209, -58.4909548206
-34.5548307052, -58.4057529755
-34.6105117147, -58.341966538
-34.5301089406, -58.4010999969
-34.6441573604, -58.4502376853
-34.6486470537, -58.3975361391
-34.6032907491, -58.488917458
-34.5582154341, -58.3502420517
-34.6180068762, -58.47923602
-34.6329727147, -58.441386229
-34.6696890228, -58.371104848
-34.5698678835, -58.4224972693
-34.6246346936, -58.5032035772
-34.5384207442, -58.3586707684
-34.5653366305, -58.3618655571
-34.634418674, -58.3660034362
-34.6205864879, -58.5206099741
-34.5361137361, -58.491720993
-34.630807711, -58.4814624384
-34.6556227113, -58.4916064464
-34.5867145887, -58.3607623269
-34.5460975066, -58.4386746974
-34.6207683858, -58.4308883311
-34.5758121891, -58.3656638153
-34.5717712767, -58.4336002196
-34.5866585246, -58.5307878923
-34.5797527143, -58.4414850214
-34.6738800111, -58.3376069583
-34.5880246752, -58.3997045715
-34.6776797897, -58.4395845743
-34.6650486446, -58.4443987594
-34.6697686063, -58.5142575095
-34.6596371792, -58.4686708154
-34.5295550128, -58.4052309416
-34.6386917687, -58.3518608111
-34.6969617934, -58.4654572171
-34.5269775952, -58.5299545095
-34.6212516752, -58.4467231331
-34.6529027925, -58.4055560704
-34.5513461395, -58.3576030123
-34.629177589, -58.3542280573
-34.6580925005, -58.4261159014
-34.7013702323, -58.4965828207
-34.6914388345, -58.5067319936
-34.685684332, -58.358652006
-34.6481134963, -58.3675894894
-34.6197388441, -58.5204970733
-34.573030258, -58.3901588006
-34.7013505992, -58.4678166911
-34.6177609971, -58.3565215081
-34.6926488343, -58.5123065691
-34.6429222371, -58.5278325366
-34.5867917096, -58.4627991788
-34.5698071812, -58.4700467857
-34.6416745949, -58.4972676343
-34.679705291, -58.4607184162
-34.558767541, -58.3981402114
-34.5644748151, -58.3905807848
-34.6029389055, -58.4168394292
-34.6199133609, -58.410256446
-34.5630918543, -58.4581214769
-34.6003727859, -58.3907384638
-34.6273846279, -58.4819915414
-34.6472103517, -58.4759283382
-34.6369197231, -58.4661531413
-34.5366326106, -58.4167507692
-34.557767789, -58.3534549076
-34.6014622719, -58.5225442431
-34.6121363424, -58.3576203056
-34.671210447, -58.3970306663
-34.5427995394, -58.4760532915
